timestamp,open,high,low,close,volume
2026-02-06,327.3500,330.6400,320.1500,323.1000,33877014
2026-02-05,313.2000,332.6440,306.9200,331.3300,51842004
2026-02-04,343.7550,344.2500,329.3700,333.3400,36991086
2026-02-03,348.5150,350.1500,338.5900,340.7000,25509219
2026-02-02,336.5500,345.1650,336.0100,344.9000,22775218
2026-01-30,334.4600,340.2900,332.6400,338.5300,21740202
2026-01-29,340.3500,342.2900,326.7200,338.6600,24548303
2026-01-28,336.6100,337.6300,332.1300,336.2800,17538476
2026-01-27,335.6300,338.2150,333.7500,335.0000,15669092
2026-01-26,328.2000,336.3499,327.4900,333.5900,18502451
2026-01-23,332.6550,334.0300,327.9700,328.4300,19110585
2026-01-22,334.2650,335.2100,328.8800,330.8400,19902110
2026-01-21,321.0950,332.7250,319.5401,328.3800,22791650
2026-01-20,321.2400,328.0900,320.8900,322.1600,26948049
2026-01-16,334.9350,335.2399,328.1700,330.3400,21868624
2026-01-15,338.0550,338.1300,331.2900,333.1600,16424864
2026-01-14,334.9850,337.0300,331.1400,336.3100,17839332
2026-01-13,335.2800,341.2000,334.3500,336.4300,24616700
2026-01-12,326.5000,334.4400,325.5100,332.7300,23893764
2026-01-09,327.4900,331.4800,326.2500,329.1400,17917732
2026-01-08,329.2650,330.5400,321.9900,326.0100,21789614
2026-01-07,314.5700,326.4650,314.5000,322.4300,24681825
2026-01-06,317.3100,321.5600,312.3400,314.5500,18989910
2026-01-05,317.6950,319.2500,315.2490,317.3200,19934019
2026-01-02,317.5900,322.9138,310.6500,315.3200,22043703
2025-12-31,313.3700,315.3900,312.2000,313.8000,10821502
2025-12-30,313.4100,317.7000,313.2500,314.5500,11052495
2025-12-29,312.8200,314.9700,311.9000,314.3900,12317693
2025-12-26,315.9200,316.5599,313.7200,314.9600,6730944
2025-12-24,316.1500,316.2900,313.3200,315.6700,6138155
2025-12-23,311.1350,316.3000,310.7500,315.6800,13961424
2025-12-22,311.2250,311.7000,306.5900,311.3300,14091373
2025-12-19,303.2700,308.9900,302.3400,308.6100,45234430
2025-12-18,303.0600,305.2600,300.6300,303.7500,21040496
2025-12-17,309.0100,309.1950,297.4500,298.0600,29120355
2025-12-16,306.0000,311.8450,303.8300,307.7300,21285166
2025-12-15,312.6250,312.7000,305.7400,309.3200,22028947
2025-12-12,314.7950,316.1400,306.9600,310.5200,21264787
2025-12-11,321.1000,321.9900,309.8800,313.7000,25912059
2025-12-10,316.6200,321.8700,315.4000,321.0000,22764499
2025-12-09,313.1000,318.7089,312.6200,317.7500,14098016
2025-12-08,321.0300,321.2300,311.9100,314.4500,21707040
2025-12-05,320.0000,323.8300,319.9800,322.0900,15719851
2025-12-04,323.0450,323.0990,315.5900,318.3900,20831597
2025-12-03,316.0300,322.0400,314.2800,320.6200,32285099
2025-12-02,316.9000,318.6000,314.2200,316.0200,24668179
2025-12-01,317.4750,319.6300,313.9800,315.1200,28520587
2025-11-28,323.4300,326.8800,316.9400,320.1200,19695811
2025-11-26,320.7800,324.9900,317.2000,320.2800,29839577
